,0
1442,pretty spicy
1443,rude at all
1444,so excited this place exists
1445,fantastic vietnamese
1446,happy you did
1447,all american
1448,clean at all
1449,extremely detail oriented
1450,happy with the food
1451,kind of gross
1452,cost effective
1453,twice as much
1454,so sad
1455,horribly slow
1456,ridiculously cheap
1457,japanese and chinese
1458,regular and spicy
1459,so ridiculous
1460,too limited
1461,hand written
1462,well thought out
1463,they open
1464,helpful at all
1465,quite light
1466,ever present
1467,amazingly low
1468,close to our house
1469,quick enough
1470,fast enough
1471,big and clean
1472,way overcooked
1473,very clean and nice
1474,unbelievably rude
1475,very balanced
1476,very frequent
1477,limp and greasy
1478,so dishonest
1479,then sure
1480,small but okay
1481,how sick
1482,better from here
1483,very appreciative
1484,as good or better
1485,task oriented
1486,a little closer
1487,better than ever
1488,small and cluttered
1489,completely comfortable
1490,super sweet and very attentive
1491,soft and fluffy
1492,soft and flavorful
1493,happy with their choices
1494,expensive at all
1495,time consuming
1496,a little sour
1497,absolutely awesome
1498,somewhat limited
1499,pretty juicy
1500,very happy
1501,really awful
1502,hard to swallow
1503,slightly disappointed
1504,completely clear
1505,pretty good in general
1506,more efficient
1507,tender and nicely seasoned
1508,incredibly fresh
1509,devine and creative
1510,delicious and flavorful
1511,a little more generous
1512,better and cheaper
1513,aware of
1514,tender and flavorful
1515,so funny
1516,slightly better
1517,healthy and affordable
1518,only nice
1519,surprisingly huge
1520,out hot and fresh
1521,clean and well decorated
1522,okay at best
1523,so greasy
1524,pretty new
1525,quite big
1526,too adventurous
1527,special but fine
1528,super fantastic
1529,all right
1530,even open
1531,kid friendly
1532,super knowledgeable
1533,extremely professional
1534,well managed
1535,excited to try it
1536,horribly sick
1537,bad to say about them
1538,bad to say
1539,absolutely disgusting
1540,as good as any steakhouse
1541,extremely long
1542,so knowledgable
1543,even half full
1544,prompt and professional
1545,more tender
1546,any worse
1547,really undercooked
1548,ok nothing special
1549,always good
1550,particularly amazing
1551,empty handed
1552,expensive but worth
1553,very oily
1554,fairly speedy
1555,super friendly and knowledgeable
1556,friendly and pleasant
1557,most horrible
1558,really mad
1559,delicious looking
1560,upper and lower
1561,very sick
1562,totally unacceptable
1563,relatively inexpensive
1564,pretty darn good
1565,really fantastic
1566,plain weird
1567,just bad
1568,somewhat reasonable
1569,better than others
1570,convenient for me
1571,nearly nonexistent
1572,very helpful and kind
1573,so dangerous
1574,attentive and quick
1575,able to eat our food
1576,ok ill
1577,intimate and cozy
1578,very very greasy
1579,sorry for you
1580,so so amazing
1581,really done
1582,attentive and fast
1583,a bit packed
1584,dark swampy green
1585,ok for me
1586,a bit too salty
1587,full sized
1588,always busy
1589,totally unnecessary
1590,pretty subpar
1591,perfectly balanced
1592,so nervous
1593,well deserved
1594,very nice and pleasant
1595,total for
1596,less than friendly
1597,somewhat dry
1598,well prepared
1599,most successful
1600,pretty awful
1601,so nice and personable
1602,extremely accommodating
1603,prompt and pleasant
1604,really simple
1605,easy enough
1606,clean and quiet
1607,completely flavorless
1608,more than fair
1609,very nice and honest
1610,completely full
1611,open and airy
1612,very fast and efficient
1613,extremely happy
1614,very friendly and professional
1615,good sized
1616,self proclaimed
1617,funny enough
1618,very likable
1619,barely edible
1620,very attentive and helpful
1621,a bit tight
1622,absolutely unacceptable
1623,right around the corner
1624,a bit uncomfortable
1625,nice and warm
1626,most common
1627,quite yummy
1628,perfect for sharing
1629,some more
1630,so hopeful
1631,super soft
1632,a little grainy
1633,so heavy
1634,really peppery
1635,fantastic and full
1636,old fashioned
1637,not frozen
1638,overly greasy
1639,awesome and cheap
1640,damn this
1641,sick of
1642,clean and well maintained
1643,happy with it
1644,really pathetic
1645,good for the soul
1646,extremely caring
1647,so sweet and kind
1648,more crowded
1649,great and helpful
1650,very close
1651,as much of a problem
1652,happy with this place
1653,too weak
1654,right for you
1655,broth based
1656,very tasty and flavourful
1657,thinly cut
1658,great for a snack
1659,very chill
1660,enough to recommend the successor to fisher s
1661,surprisingly available at this restaurant run by the excellent quagliata restaurant family
1662,pretty minimal
1663,very cramped
1664,very strict
1665,too soft
1666,fairly big
1667,extremely hungry
1668,nothing amazing
1669,extremely unethical
1670,very very careful going to this facility they are extremely conniving
1671,very close by
1672,especially nice
1673,good quality
1674,too good to be true
1675,most vietnamese
1676,worth coming back for
1677,so gracious
1678,highly regarded
1679,comfortable in
1680,polite and efficient
1681,very nice and welcoming
1682,so happy i did
1683,easy to use
1684,as honest
1685,so difficult
1686,as impressed
1687,bigger than my head
1688,completely relaxed
1689,kind of pricey
1690,a bit late
1691,cheap and cheerful
1692,amazing as well
1693,good as always
1694,very attentive and caring
1695,honest and good
1696,fair and competitive
1697,so inclined
1698,somewhat overcooked
1699,simple and straight
1700,all beef
1701,definitely unique
1702,smaller sized
1703,super cheap
1704,incredibly salty
1705,so fast
1706,very filling
1707,a little frustrating
1708,really really good and cooked fresh
1709,not like burgers
1710,reasonable for day
1711,just basic
1712,not bad at all
1713,quite thin
1714,extremely aggressive
1715,more convenient for her
1716,able to get up and use the restroom
1717,too hard to look into and easier to push me out
1718,unsure of what to expect
1719,so very grateful
1720,exactly sure
1721,right with me
1722,well good
1723,really crispy
1724,hard as a rock
1725,nice refreshing
1726,absolutely hilarious
1727,more flavourful
1728,super professional
1729,most exciting
1730,a little cold
1731,incredibly hard
1732,ok not great
1733,hand mixed
1734,not cool
1735,simple but great
1736,a bit awkward
1737,fine with it
1738,completely fair
1739,so grateful for this service
1740,only okay
1741,too crazy
1742,just as good
1743,warm out
1744,cold and rubbery
1745,very upset
1746,most friendly
1747,happy with the taste and portions
1748,most annoying
1749,12 years old
1750,glad i tried it
1751,as painful
1752,how fast
1753,something missing
1754,fully satisfied
1755,nicely seasoned
1756,generous too
1757,clean modern
1758,typical japanese
1759,slightly thinner
1760,very friendly and engaging
1761,very hot to eat so had to be careful
1762,truly authentic
1763,really underwhelming
1764,so creamy and delicious
1765,awful too
1766,very attentive very friendly
1767,flash fried
1768,too cute
1769,too much for me
1770,thick and tasteless
1771,totally unseasoned
1772,oily and old
1773,nice with 3 stars
1774,obviously old and unseasoned
1775,delicious and authentic
1776,absolutely massive
1777,really really bad
1778,diet friendly
1779,nice at first
1780,overly hot
1781,equally bad
1782,horrible horrible horrible
1783,surprisingly fresh
1784,flavourful and delicious
1785,really strong
1786,beautiful and bright
1787,so painless and easy
1788,decent and cheap
1789,fresh enough
1790,very unusual
1791,a bit soft
1792,super dry
1793,very happy with the service
1794,close to closing time
1795,too thin
1796,very weak
1797,darn good
1798,most incompetent
1799,too difficult
1800,so reassuring
1801,authentic vietnamese
1802,simple tasty
1803,really difficult
1804,the closest to my home
1805,south indian
1806,perfect for you
1807,pretty sizable
1808,kind of good
1809,way too expensive
1810,pretty dismal
1811,easier for me
1812,very very thin
1813,sick of it
1814,very exciting
1815,a little confused
1816,very odd
1817,not available
1818,20 years old
1819,close to unlv
1820,a bit soggy
1821,surprisingly clean
1822,how terrible
1823,very good at all
1824,cool looking
1825,much much better
1826,very poorly run
1827,just disgusting
1828,thin and crunchy
1829,close to authentic style
1830,aware of this
1831,all fantastic
1832,spicy one
1833,full and satisfied
1834,a bit lacking
1835,really salty
1836,very busy on a saturday night
1837,most knowledgeable
1838,this busy
1839,able to order
1840,absolutely mediocre
1841,ho hum bland and forgettable
1842,lrb human rrb
1843,so thin you can hear other people poop and pee
1844,quick and delicious
1845,readily available
1846,kind of messy
1847,completely bland
1848,very low key
1849,meat based
1850,delicious and juicy
1851,addictively delicious
1852,light and refreshing
1853,quite satisfying
1854,a little late
1855,black eyed
1856,spicy fried
1857,very beautiful
1858,so tasty
1859,nice and refreshing
1860,spicy enough
1861,really messy
1862,authentic chinese food
1863,how inexpensive
1864,extremely tender
1865,knowledgeable and friendly
1866,quite clean
1867,particularly memorable
1868,not terrible
1869,sky high
1870,ho hum
1871,normally great
1872,slow and disorganized
1873,understaffed on the floor
1874,disappointed he did not get to witness that
1875,not funny tho
1876,really terrific
1877,too sweet for my taste
1878,preserved egg
1879,clean and nicely decorated
1880,extremely honest
1881,extremely generous
1882,egg fried
1883,open at 3 am in the morning
1884,more light
1885,most adventurous
1886,still delicious
1887,allergic to seafood
1888,consistently decent
1889,perfect for a quick bite
1890,a little thicker
1891,much more enjoyable
1892,really cramped
1893,so chaotic
1894,a little rude
1895,already full
1896,quite annoying
1897,all hard
1898,really smooth
1899,small and large
1900,so much good
1901,as cheap
1902,at least warm
1903,slow at times
1904,far best
1905,quite pleased
1906,perfect for us
1907,very spicy at all
1908,gut busting
1909,consistently excellent
1910,great and attentive
1911,a bit too sweet
1912,dead on
1913,more adventurous
1914,a bit disorganized
1915,quick and simple
1916,clean big
1917,somewhat full
1918,a little burnt
1919,very nice friendly
1920,exceedingly reasonable
1921,pretty fun
1922,too large
1923,more fresh
1924,water stained
1925,new to me
1926,truly honest
1927,nice and new
1928,almost worth
1929,very nice and patient
1930,pretty enjoyable
1931,hot and sweet
1932,so fresh and hot
1933,mild spicy
1934,worth a visit
1935,about 23 full
1936,very good for what you get
1937,a little too high
1938,very mushy
1939,extremely dissatisfied
1940,extremely mediocre in all senses
1941,very tasty would have paid 7 for this
1942,very soggy
1943,incredibly terrible
1944,pretty impressed
1945,more than enough for one person
1946,pretty generous
1947,less busy
1948,fresh and plentiful
1949,overly crowded
1950,so limited
1951,nice and big
1952,fresh on site
1953,very loose
1954,so hidden
1955,very personal
1956,late to work
1957,more modern
1958,american chinese
1959,chinese american
1960,a little different
1961,something wrong with it
1962,pleasant and professional
1963,enough about them
1964,spicy and sweet
1965,half full
1966,better than this place
1967,very tender and fresh
1968,watery and bland
1969,really wrong
1970,house fried
1971,easy to work with
1972,highly anticipated
1973,delicious and satisfying
1974,overpriced for what you get
1975,totally overpriced
1976,a little oily
1977,equally impressed
1978,too long to cook
1979,quite surprised
1980,well lit and clean
1981,very impatient
1982,more like
1983,thick and tasty
1984,a little sweet
1985,quite decent
1986,very successful
1987,quite generous
1988,mill cheap
1989,safe than sorry
1990,so poor
1991,fairly low
1992,crunchy and fresh
1993,most underwhelming
1994,super nice and accommodating
1995,hard to go down to the dealership in person
1996,hesitant to run my credit because of it lowering my score and not having all the specs of the deal in order
1997,completely underwhelming
1998,fantastic and huge
1999,open to the patio
2000,big enough to share
2001,soft serve
2002,nice and updated
2003,bigger than my stomach
2004,all nice
2005,so fancy
2006,modern and clean
2007,otherwise delicious
2008,super friendly and personable
2009,grossly overpriced
2010,so creamy
2011,annoying him
2012,how refreshing
2013,good on the menu
2014,equally as good
2015,tasty too
2016,buy out
2017,too messy
2018,good to
2019,once ayear
2020,all empty
2021,decently sized
2022,pretty fair
2023,fast and cheap
2024,great as always
2025,more amazing
2026,friendly and informative
2027,pretty plain
2028,so late
2029,no good
2030,both amazing
2031,previously stated
2032,incredibly busy
2033,right in front of you
2034,worth mentioning
2035,pretty ok
2036,attentive and professional
2037,truly exceptional
2038,almost rude
2039,lucky for us
2040,really affordable
2041,very happy with it
2042,more than enough for me
2043,so watery
2044,good old
2045,super friendly and attentive
2046,very friendly and prompt
2047,rare for me
2048,just aok
2049,unapologetic and rude
2050,quite pleasant
2051,pretty inexpensive
2052,much for it
2053,smooth and creamy
2054,really rich
2055,very nice and attentive
2056,just weird
2057,very good sized
2058,a little strange
2059,too weird for me
2060,all different
2061,very wrong
2062,very creamy
2063,so close to home
2064,just decent
2065,rude as hell
2066,much better than that
2067,quick and affordable
2068,able to take care of me
2069,a bit spotty
2070,delicious vegan
2071,most fun
2072,dry tasteless
2073,happy to help
2074,red and green
2075,flavorful and juicy
2076,weird for me
2077,kind of chewy
2078,interesting enough
2079,slightly uncomfortable
2080,so accommodating and nice
2081,able to get guys and girls in free at xs
2082,too popular
2083,easy on your wallet
2084,warm and soft
2085,highly knowledgeable
2086,very helpful and attentive
2087,any better than this
2088,friendly and polite
2089,excited to try
2090,really poor
2091,fun for me
2092,creamy and delicious
2093,a little runny in the middle
2094,cool and different
2095,incredibly clean
2096,how expensive
2097,hard and stale
2098,young and inexperienced
2099,next to impossible
2100,way too long
2101,a bit old
2102,as fast
2103,close to uptown
2104,all vegan
2105,never ending
2106,good about this place
2107,still hungry
2108,extremely disappointed with the customer service
2109,not too heavy
2110,ok vegan
2111,tasteless bland
2112,very well seasoned
2113,any more
2114,hard to decide what to get
2115,sometimes busy
2116,especially the
2117,so long to get seated
2118,even decent
2119,incredibly bland
2120,patient with us
2121,slightly high
2122,a bit messy
2123,willing to help you out
2124,somewhat mixed
2125,a bit chewy
2126,super great
2127,very helpful and accommodating
2128,vegan or vegetarian
2129,more mature
2130,so welcoming
2131,hard to decide
2132,pretty safe
2133,very close to home
2134,easy going
2135,worth a stop
2136,friendly and knowledgable
2137,pretty relaxed
2138,a bit limited
2139,not very busy
2140,pretty top
2141,beautiful and breathtaking
2142,thoroughly enjoyable
2143,right with you
2144,really gross
2145,tasty as well
2146,much better than i expected
2147,lrb delicious rrb
2148,more and more
2149,once seated
2150,fairly reasonable
2151,super loud
2152,delicious and quick
2153,slightly dry
2154,very impressed with the attention
2155,super helpful and friendly
2156,expensive as hell
2157,this expensive
2158,plain old
2159,bland and flavorless
2160,very pleasant and friendly
2161,very contemporary
2162,so careful
2163,so wrong
2164,best middle
2165,clean and fresh
2166,really knowledgeable
2167,as hot
2168,not disappointed
2169,tax included
2170,diverse unique and tasty
2171,all time favorite
2172,wrong at rivals
2173,good food
2174,pretty weak
2175,very great
2176,how small
2177,clean and comfortable
2178,happy to do so
2179,delicious and worth
2180,comfortable and clean
2181,way overpriced
2182,large very clean
2183,less than that
2184,more sweet
2185,creamy and smooth
2186,wonderful smelling
2187,how little
2188,how affordable
2189,so rich
2190,gluten sensitive
2191,right on time
2192,significantly better
2193,out of a can
2194,delicious cheap
2195,more than adequate
2196,seriously delicious
2197,very patient and helpful
2198,hand tossed
2199,very natural
2200,most natural
2201,very delish
2202,huge to me
2203,as clean and sterile as tip toe
2204,fresh hot
2205,completely out
2206,addicted to this place
2207,busy sunday
2208,so important
2209,a little too greasy
2210,much about
2211,nice and welcoming
2212,good for me
2213,so subtle
2214,super high
2215,wet so i quickly rushed to the bathroom and retrieved paper towels
2216,more consigned about the chair than offering to assist with this embarrassing moment
2217,easy and fast
2218,sure i was comfortable
2219,all better
2220,integrative holistic
2221,genuinely interested
2222,award winning
2223,so glad i found this place
2224,very doughy
2225,just hungry
2226,real nice
2227,totally annoyed
2228,dense and flavorless
2229,great to talk to
2230,a better
2231,very soft
2232,pretty long
2233,more flavorful
2234,totally comfortable
2235,most reasonable
2236,pretty accurate
2237,not so bad
2238,the more
2239,straight up
2240,important to me
2241,pretty yellow
2242,a little stale
2243,fresh and soft
2244,how convenient
2245,professional and helpful
2246,middle eastern
2247,excited to come back
2248,too complicated
2249,not able
2250,absolutely divine
2251,short of my expectations
2252,eastern and mediterranean
2253,sweet and attentive
2254,very knowledgeable and helpful
2255,bland and tasteless
2256,super reasonable
2257,great and professional
2258,eager to help
2259,incredibly disappointed
2260,not so good
2261,glad you did
2262,quite extensive
2263,cold and hot
2264,over priced
2265,not too expensive
2266,the wiser
2267,pretty salty
2268,very professional and helpful
2269,able to get anything for free
2270,completely flat
2271,most happy
2272,baked in tomato
2273,really cute
2274,a little bit different
2275,lucky she did not break a tooth
2276,sure it does not happen to some other poor person who may actually break their tooth
2277,bad to the sushi
2278,so incredibly awful
2279,so insanely processed lrb yay rrb
2280,so ridiculously disappointed with the entire experience
2281,perfectly grilled
2282,generous with the toppings
2283,so efficient
2284,spotlessly clean
2285,friendly and happy
2286,quite modern
2287,good for groups
2288,slightly disappointing
2289,open until 9 pm
2290,close to my job
2291,well trained
2292,old and stale
2293,good and tasty
2294,really cranky
2295,really ridiculous
2296,so knowledgeable
2297,ready for me
2298,vegan so they cater to us
2299,nice warm and welcoming
2300,anything wrong
2301,crazy long
2302,very relaxing and clean
2303,quite amazing
2304,pretty huge
2305,very pretty
2306,perfectly ripe
2307,very nice and responsive
2308,neither sorry nor pleasant
2309,as loud
2310,high priced
2311,pretty terrible
2312,rude and useless
2313,four legged
2314,so reasonable
2315,pretty lenient
2316,definitely a
2317,very submissive
2318,nice to them
2319,just terrible
2320,friendly too
2321,totally disappointed at this store
2322,somewhat healthy
2323,really big lrb and separate from the sushi
2324,bigger than anywhere else
2325,clean for a buffet
2326,too lame to bother with
2327,all wonderful
2328,so similar
2329,so succulent
2330,a little less
2331,a bit different
2332,kind of dirty
2333,courteous and helpful
2334,super slow and inattentive
2335,very forgettable
2336,too amazing
2337,good a little
2338,how clean
2339,more personal
2340,out hot
2341,sweet and tasty
2342,somewhat high
2343,very evident
2344,worth going back for
2345,pretty cheesy
2346,surprisingly great
2347,a little dirty
2348,so talented
2349,any good
2350,most perfect
2351,not worth it
2352,overly aggressive
2353,a little hot
2354,possible for me
2355,rather new
2356,okay with the concept
2357,too exciting
2358,any ready
2359,soft and mushy
2360,carry out
2361,very very uncomfortable
2362,ready within minutes
2363,very sweet and attentive
2364,super friendly and professional
2365,super relaxed
2366,not too bad
2367,so good and fresh
2368,relatively cheap
2369,out of control
2370,overcooked and chewy
2371,visually unappealing
2372,tough and dry
2373,pretty slow
2374,bright and clean
2375,how important
2376,cut up
2377,unprofessional and rude
2378,super fun
2379,ridiculously slow
2380,amazing and fresh
2381,heavily seasoned
2382,ok with that
2383,pretty interesting
2384,most experienced
2385,all fresh
2386,much lower
2387,otherwise decent
2388,pretty rough
2389,how cool
2390,amazing and worth
2391,right around the corner from my house
2392,small and simple
2393,quick to eat
2394,sure to make reservations
2395,dry and hard
2396,ready to grab my car keys and go
2397,illegal for you
2398,cocky saying i got your signature and there is nothing you can do
2399,glacially slow
2400,very hip
2401,pull out
2402,so happy with the results
2403,well lit
2404,well equipped
2405,so memorable
2406,much about cars
2407,sensitive at all
2408,upset they did not even do a good job
2409,too great for the tasty toppings
2410,extremely pleased to see this sign prominently displayed inside
2411,pissed off
2412,most helpful and honest
2413,super dangerous
2414,12 oz
2415,nice funny
2416,quick and polite
2417,very fancy
2418,super annoying
2419,pretty strong
2420,extremely impressed
2421,absolutely excellent
2422,especially worth
2423,more intimate
2424,really classy
2425,very good good
2426,most basic
2427,pretty tasteless
2428,away happy
2429,long high
2430,all fine
2431,absolutely huge
2432,large and small
2433,very common
2434,vastly overpriced
2435,so generous
2436,daily made
2437,really bright
2438,so annoying
2439,much more affordable and better
2440,pretty excited
2441,how hot
2442,outstanding and courteous
2443,how unprofessional
2444,20 oz
2445,a bit overwhelmed
2446,that long
2447,nice and courteous
2448,great but good
2449,fairly empty
2450,even better than that
2451,very delightful
2452,relatively quick
2453,ready quick
2454,able to let other travelers know to beware
2455,unsure of spelling
2456,free to try to complain
2457,extremely rude arrogant and condescending
2458,very close to my house
2459,little dumpling
2460,hot spicy
2461,consistent and decent
2462,particularly bad
2463,small but nice
2464,how different
2465,61018 update called
2466,sure as to why there are bad reviews but also have not been here long enough to know what real poutine should be like
2467,just glad i found vegan poutine
2468,pretty wide
2469,so smooth
2470,all super friendly
2471,cold cut
2472,good tasty
2473,prepared perfectly
2474,as good as other locations
2475,very engaging
2476,soft and warm
2477,open to 11 pm
2478,simple but delicious
2479,best and safest
2480,nice and spacious
2481,pleasant enough
2482,light and airy
2483,so wet
2484,nicely appointed
2485,not happy
2486,able to get in quickly with a party of 4 no reservations on a busy friday night
2487,a little too loud
2488,so crowded
2489,very efficient and friendly
2490,small in size
2491,actually spicy
2492,absolutely best
2493,poorly made
2494,quite full
2495,very upbeat
2496,pretty attractive
2497,a bit expensive for what you get
2498,delicious and spicy
2499,very cow themed
2500,very boring
2501,more enjoyable
2502,open until 11 pm
2503,all fabulous
2504,kind of nice
2505,at home right
2506,gorgeous and comfortable
2507,knowledgeable and fun
2508,so finely
2509,like butter in your mouth so creamy and delicious
2510,too much of either so yummy
2511,it absolutely delicious
2512,worried about me
2513,fortunate to have amazing meals
2514,masterful culinary
2515,happy hour
2516,hot and plentiful
2517,a little undercooked
2518,equally tasty
2519,quite hungry
2520,too acidic
2521,hands down
2522,chinese take out
2523,ridiculously high
2524,casual and relaxed
2525,clean and tidy
2526,highly rated
2527,dirty and worn
2528,tasty and filling
2529,nice and comfortable
2530,lovingly prepared
2531,worth the money and time
2532,both very good
2533,very cheesy
2534,small and cozy
2535,so overcooked
2536,quite bad
2537,quite cold
2538,very unfinished
2539,awesome on my mani pedi
2540,really decent
2541,clean and very relaxing
2542,quite satisfied
2543,free wi fi
2544,very clean and peaceful
2545,much more solid
2546,good for two
2547,great for parties
2548,chinese thai
2549,very edible
2550,best happy
2551,super thin
2552,cold and bland
2553,how unhappy
2554,too busy for me
2555,outstanding panini baguette
2556,always delicious
2557,almost inedible
2558,kind of hidden
2559,quite noisy
2560,a bit sad
2561,well regulated
2562,rather disappointing
2563,so tender like butter
2564,really important
2565,very early
2566,quite cheap
2567,more than 8 hrs old
2568,hard pressed to find that kind of enterprising spirit in montreal
2569,extremely quick
2570,more modest
2571,very hospitable
2572,great for takeout
2573,hard and dry
2574,clean trendy
2575,privately owned
2576,very aesthetically pleasing
2577,thoroughly disappointing
2578,easy for us
2579,how sorry
2580,extremely strong
2581,a little uncomfortable
2582,fresh and well made
2583,bigger with the fish
2584,really spectacular
2585,close to the house
2586,really relaxing
2587,new or used
2588,completely wrong
2589,good for takeout
2590,perfectly fine
2591,really outstanding
2592,thick curly
2593,very friendly and nice
2594,cheap and large
2595,glad she did
2596,so fresh and tasty
2597,more than reasonable
2598,pricey too
2599,so good and so fresh
2600,fresh and pickled
2601,the only negative
2602,savory and delicious
2603,completely cold
2604,both pretty good
2605,only open
2606,more decent
2607,very knowledgeable and professional
2608,hard to stomach
2609,rude and not friendly
2610,still amazing
2611,how fresh
2612,affordable and reasonable
2613,pretty dry
2614,so fresh and yummy
2615,juicy and delicious
2616,fast and simple
2617,pencil thin
2618,clean and calming
2619,genuinely nice
2620,fully loaded
2621,right for my dog
2622,how calm
2623,happy with my hair
2624,so quick
2625,very happy with them
2626,very patient with me
2627,really sketchy
2628,a little bit too salty
2629,definitely different
2630,the coolest
2631,very picky about my brows
2632,check out
2633,kind of hard
2634,a bit more expensive
2635,greasy and undercooked
2636,medium rare medium
2637,able to get a same day appointment
2638,extremely unimpressed with the customer service at spencer s
2639,extremely unfriendly
2640,pleased with my previous experience
2641,pleased with my second experience
2642,just lovely
2643,gross old and dirty
2644,very interested
2645,nice and juicy
2646,so old
2647,able to get a cosigner
2648,the most entertaining
2649,a little disrespectful
2650,cold pressed
2651,excellent and attentive
